"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 10:22:26 GMT 2024","Tue Nov 05 10:22:27 GMT 2024","1116","Mobile Safari","cart-test.spec.js","Functionality Test - Cart","","","Verify Cart Page",""
"passed","Tue Nov 05 10:15:03 GMT 2024","Tue Nov 05 10:15:03 GMT 2024","725","webkit","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for checkout-overview inventory page without login",""
"passed","Tue Nov 05 10:03:23 GMT 2024","Tue Nov 05 10:04:23 GMT 2024","60496","firefox","fail-test.spec.js","@explore - Test pass when fail","","","Can not access checkout-info page without login",""
"passed","Tue Nov 05 10:00:10 GMT 2024","Tue Nov 05 10:00:10 GMT 2024","433","chromium","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for access inventory-item page without login",""
"passed","Tue Nov 05 10:24:34 GMT 2024","Tue Nov 05 10:25:35 GMT 2024","60608","Mobile Safari","fail-test.spec.js","@explore - Test pass when fail","","","Can not access cart page without login",""
"passed","Tue Nov 05 09:53:01 GMT 2024","Tue Nov 05 09:54:02 GMT 2024","60383","chromium","fail-test.spec.js","@explore - Test pass when fail","","","Can not access inventory page without login",""
"passed","Tue Nov 05 10:00:06 GMT 2024","Tue Nov 05 10:00:07 GMT 2024","1466","chromium","login-test.spec.js","Functionality Test - Login","","","@smoke - Verify logout process",""
"passed","Tue Nov 05 10:07:38 GMT 2024","Tue Nov 05 10:07:39 GMT 2024","761","firefox","product-test.spec.js","Functionality Test - Product","","","Verify sort product function by names and prices",""
"passed","Tue Nov 05 10:29:44 GMT 2024","Tue Nov 05 10:29:44 GMT 2024","654","Mobile Safari","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for access inventory page without login",""
"passed","Tue Nov 05 10:22:33 GMT 2024","Tue Nov 05 10:23:33 GMT 2024","60609","Mobile Safari","fail-test.spec.js","@explore - Test pass when fail","","","Can not access inventory page without login",""
"passed","Tue Nov 05 10:04:23 GMT 2024","Tue Nov 05 10:05:24 GMT 2024","60516","firefox","fail-test.spec.js","@explore - Test pass when fail","","","Can not access checkout-overview page without login",""
"passed","Tue Nov 05 10:07:39 GMT 2024","Tue Nov 05 10:07:40 GMT 2024","744","firefox","product-test.spec.js","Data Validation Test - Product","","","Verify product information match across pages",""
"passed","Tue Nov 05 10:13:53 GMT 2024","Tue Nov 05 10:14:54 GMT 2024","60868","webkit","fail-test.spec.js","@explore - Test pass when fail","","","Test Github Actions - hasilnya failed",""
"passed","Tue Nov 05 09:57:03 GMT 2024","Tue Nov 05 09:58:04 GMT 2024","60579","chromium","fail-test.spec.js","@explore - Test pass when fail","","","Can not access checkout-overview page without login",""
"passed","Tue Nov 05 10:07:49 GMT 2024","Tue Nov 05 10:08:49 GMT 2024","60732","webkit","fail-test.spec.js","@explore - Test pass when fail","","","Can not access inventory page without login",""
"passed","Tue Nov 05 10:14:58 GMT 2024","Tue Nov 05 10:14:59 GMT 2024","795","webkit","login-test.spec.js","Error Handling Test - Login","","","Verify error message for blank password field",""
"passed","Tue Nov 05 10:29:37 GMT 2024","Tue Nov 05 10:29:38 GMT 2024","619","Mobile Safari","login-test.spec.js","Functionality Test - Login","","","Verify Login Page",""
"passed","Tue Nov 05 10:22:22 GMT 2024","Tue Nov 05 10:22:22 GMT 2024","471","Mobile Chrome","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for access inventory-item page without login",""
"passed","Tue Nov 05 10:28:36 GMT 2024","Tue Nov 05 10:29:37 GMT 2024","60854","Mobile Safari","fail-test.spec.js","@explore - Test pass when fail","","","Test Github Actions - hasilnya failed",""
"passed","Tue Nov 05 10:07:36 GMT 2024","Tue Nov 05 10:07:36 GMT 2024","598","firefox","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for checkout-info page without login",""
"passed","Tue Nov 05 10:29:39 GMT 2024","Tue Nov 05 10:29:41 GMT 2024","1876","Mobile Safari","login-test.spec.js","Functionality Test - Login","","","@smoke - Verify logout process",""
"passed","Tue Nov 05 10:29:47 GMT 2024","Tue Nov 05 10:29:48 GMT 2024","928","Mobile Safari","product-test.spec.js","Functionality Test - Product","","","Verify Inventory Page and Inventory Item Page",""
"passed","Tue Nov 05 10:00:05 GMT 2024","Tue Nov 05 10:00:05 GMT 2024","499","chromium","login-test.spec.js","Functionality Test - Login","","","Verify Login Page",""
"passed","Tue Nov 05 10:07:35 GMT 2024","Tue Nov 05 10:07:35 GMT 2024","478","firefox","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for access inventory page without login",""
"passed","Tue Nov 05 10:00:17 GMT 2024","Tue Nov 05 10:00:18 GMT 2024","882","firefox","cart-test.spec.js","Functionality Test - Cart","","","@smoke - Verify removing product from cart",""
"passed","Tue Nov 05 10:15:10 GMT 2024","Tue Nov 05 10:15:11 GMT 2024","910","Mobile Chrome","checkout-test.spec.js","Functionality Test - Checkout","","","@smoke - Verify Checkout Page",""
"passed","Tue Nov 05 10:18:14 GMT 2024","Tue Nov 05 10:19:14 GMT 2024","60447","Mobile Chrome","fail-test.spec.js","@explore - Test pass when fail","","","Can not access checkout-info page without login",""
"passed","Tue Nov 05 10:22:19 GMT 2024","Tue Nov 05 10:22:20 GMT 2024","578","Mobile Chrome","login-test.spec.js","Error Handling Test - Login","","","Verify error message for blank password field",""
"passed","Tue Nov 05 10:14:59 GMT 2024","Tue Nov 05 10:15:00 GMT 2024","895","webkit","login-test.spec.js","Error Handling Test - Login","","","Verify error message for incorrect password",""
"passed","Tue Nov 05 10:25:35 GMT 2024","Tue Nov 05 10:26:35 GMT 2024","60612","Mobile Safari","fail-test.spec.js","@explore - Test pass when fail","","","Can not access checkout-info page without login",""
"passed","Tue Nov 05 10:05:24 GMT 2024","Tue Nov 05 10:06:24 GMT 2024","60495","firefox","fail-test.spec.js","@explore - Test pass when fail","","","Can not access checkout-complete page without login",""
"passed","Tue Nov 05 09:52:56 GMT 2024","Tue Nov 05 09:52:57 GMT 2024","1712","chromium","cart-test.spec.js","Functionality Test - Cart","","","Verify Cart Page",""
"passed","Tue Nov 05 10:15:04 GMT 2024","Tue Nov 05 10:15:05 GMT 2024","977","webkit","product-test.spec.js","Functionality Test - Product","","","Verify Inventory Page and Inventory Item Page",""
"passed","Tue Nov 05 10:09:50 GMT 2024","Tue Nov 05 10:10:51 GMT 2024","60687","webkit","fail-test.spec.js","@explore - Test pass when fail","","","Can not access cart page without login",""
"passed","Tue Nov 05 10:29:45 GMT 2024","Tue Nov 05 10:29:46 GMT 2024","669","Mobile Safari","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for checkout-info page without login",""
"passed","Tue Nov 05 10:00:07 GMT 2024","Tue Nov 05 10:00:08 GMT 2024","486","chromium","login-test.spec.js","Error Handling Test - Login","","","Verify error message for blank username field",""
"passed","Tue Nov 05 10:00:12 GMT 2024","Tue Nov 05 10:00:12 GMT 2024","596","chromium","product-test.spec.js","Functionality Test - Product","","","Verify Inventory Page and Inventory Item Page",""
"passed","Tue Nov 05 10:01:21 GMT 2024","Tue Nov 05 10:02:22 GMT 2024","60532","firefox","fail-test.spec.js","@explore - Test pass when fail","","","Can not access inventory-item page without login",""
"passed","Tue Nov 05 10:15:12 GMT 2024","Tue Nov 05 10:15:13 GMT 2024","878","Mobile Chrome","checkout-test.spec.js","Error Handling Test - Checkout","","","Verify error message for blank fields",""
"passed","Tue Nov 05 10:29:38 GMT 2024","Tue Nov 05 10:29:39 GMT 2024","893","Mobile Safari","login-test.spec.js","Functionality Test - Login","","","@smoke - Verify login process with valid credentials",""
"passed","Tue Nov 05 10:29:46 GMT 2024","Tue Nov 05 10:29:47 GMT 2024","664","Mobile Safari","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for checkout-complete inventory page without login",""
"passed","Tue Nov 05 09:53:01 GMT 2024","Tue Nov 05 09:53:01 GMT 2024","882","chromium","checkout-test.spec.js","Error Handling Test - Checkout","","","Verify error message for blank fields",""
"passed","Tue Nov 05 10:07:29 GMT 2024","Tue Nov 05 10:07:30 GMT 2024","519","firefox","login-test.spec.js","Functionality Test - Login","","","Verify Login Page",""
"passed","Tue Nov 05 10:07:33 GMT 2024","Tue Nov 05 10:07:33 GMT 2024","675","firefox","login-test.spec.js","Error Handling Test - Login","","","Verify error message for blank password field",""
"passed","Tue Nov 05 10:00:14 GMT 2024","Tue Nov 05 10:00:16 GMT 2024","2110","firefox","cart-test.spec.js","Functionality Test - Cart","","","Verify Cart Page",""
"passed","Tue Nov 05 10:10:51 GMT 2024","Tue Nov 05 10:11:51 GMT 2024","60678","webkit","fail-test.spec.js","@explore - Test pass when fail","","","Can not access checkout-info page without login",""
"passed","Tue Nov 05 10:20:15 GMT 2024","Tue Nov 05 10:21:15 GMT 2024","60513","Mobile Chrome","fail-test.spec.js","@explore - Test pass when fail","","","Can not access checkout-complete page without login",""
"passed","Tue Nov 05 10:29:41 GMT 2024","Tue Nov 05 10:29:41 GMT 2024","693","Mobile Safari","login-test.spec.js","Error Handling Test - Login","","","Verify error message for blank username field",""
"passed","Tue Nov 05 10:11:51 GMT 2024","Tue Nov 05 10:12:52 GMT 2024","60685","webkit","fail-test.spec.js","@explore - Test pass when fail","","","Can not access checkout-overview page without login",""
"passed","Tue Nov 05 10:22:20 GMT 2024","Tue Nov 05 10:22:20 GMT 2024","632","Mobile Chrome","login-test.spec.js","Error Handling Test - Login","","","Verify error message for incorrect password",""
"passed","Tue Nov 05 10:07:33 GMT 2024","Tue Nov 05 10:07:34 GMT 2024","754","firefox","login-test.spec.js","Error Handling Test - Login","","","Verify error message for incorrect password",""
"passed","Tue Nov 05 10:12:52 GMT 2024","Tue Nov 05 10:13:53 GMT 2024","60690","webkit","fail-test.spec.js","@explore - Test pass when fail","","","Can not access checkout-complete page without login",""
"passed","Tue Nov 05 10:00:11 GMT 2024","Tue Nov 05 10:00:12 GMT 2024","417","chromium","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for checkout-complete inventory page without login",""
"passed","Tue Nov 05 10:07:37 GMT 2024","Tue Nov 05 10:07:38 GMT 2024","729","firefox","product-test.spec.js","Functionality Test - Product","","","Verify Inventory Page and Inventory Item Page",""
"passed","Tue Nov 05 10:15:02 GMT 2024","Tue Nov 05 10:15:03 GMT 2024","695","webkit","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for checkout-info page without login",""
"passed","Tue Nov 05 10:26:35 GMT 2024","Tue Nov 05 10:27:36 GMT 2024","60634","Mobile Safari","fail-test.spec.js","@explore - Test pass when fail","","","Can not access checkout-overview page without login",""
"passed","Tue Nov 05 10:00:09 GMT 2024","Tue Nov 05 10:00:10 GMT 2024","431","chromium","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for access inventory page without login",""
"passed","Tue Nov 05 10:15:08 GMT 2024","Tue Nov 05 10:15:09 GMT 2024","890","Mobile Chrome","cart-test.spec.js","Functionality Test - Cart","","","Verify Cart Page",""
"passed","Tue Nov 05 09:55:02 GMT 2024","Tue Nov 05 09:56:03 GMT 2024","60397","chromium","fail-test.spec.js","@explore - Test pass when fail","","","Can not access cart page without login",""
"passed","Tue Nov 05 10:22:29 GMT 2024","Tue Nov 05 10:22:30 GMT 2024","1217","Mobile Safari","checkout-test.spec.js","Functionality Test - Checkout","","","@smoke - Verify Checkout Page",""
"passed","Tue Nov 05 10:06:25 GMT 2024","Tue Nov 05 10:07:29 GMT 2024","63754","firefox","fail-test.spec.js","@explore - Test pass when fail","","","Test Github Actions - hasilnya failed",""
"passed","Tue Nov 05 10:00:08 GMT 2024","Tue Nov 05 10:00:08 GMT 2024","531","chromium","login-test.spec.js","Error Handling Test - Login","","","Verify error message for blank password field",""
"passed","Tue Nov 05 10:00:10 GMT 2024","Tue Nov 05 10:00:11 GMT 2024","431","chromium","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for checkout-info page without login",""
"passed","Tue Nov 05 10:15:01 GMT 2024","Tue Nov 05 10:15:01 GMT 2024","722","webkit","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for access inventory page without login",""
"passed","Tue Nov 05 10:07:47 GMT 2024","Tue Nov 05 10:07:49 GMT 2024","1254","webkit","checkout-test.spec.js","Error Handling Test - Checkout","","","Verify error message for blank fields",""
"passed","Tue Nov 05 09:52:57 GMT 2024","Tue Nov 05 09:52:58 GMT 2024","673","chromium","cart-test.spec.js","Functionality Test - Cart","","","@smoke - Verify adding product to cart and product information are accurate",""
"passed","Tue Nov 05 10:07:32 GMT 2024","Tue Nov 05 10:07:33 GMT 2024","610","firefox","login-test.spec.js","Error Handling Test - Login","","","Verify error message for blank username field",""
"passed","Tue Nov 05 10:22:19 GMT 2024","Tue Nov 05 10:22:19 GMT 2024","540","Mobile Chrome","login-test.spec.js","Error Handling Test - Login","","","Verify error message for blank username field",""
"passed","Tue Nov 05 10:00:19 GMT 2024","Tue Nov 05 10:00:20 GMT 2024","1006","firefox","checkout-test.spec.js","Data Validation Test - Checkout","","","Verify data product are accurate in checkout process",""
