"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 09:13:26 GMT 2024","Thu Nov 07 09:13:27 GMT 2024","1102","Web Interface Test","Cart","Functionality","","","Verify removing product from cart at cart page","This test functionality remove products from cart at cart page."
"passed","Thu Nov 07 09:13:42 GMT 2024","Thu Nov 07 09:13:43 GMT 2024","975","Web Interface Test","Product","Functionality","","","Verify Inventory Page and Inventory Item Page","This test visibility inventory page and inventory item page."
"passed","Thu Nov 07 09:13:37 GMT 2024","Thu Nov 07 09:13:38 GMT 2024","840","Web Interface Test","Login","Error Handling","","","Verify error message for incorrect password","This test error message visibility when login with invalid credentials."
"passed","Thu Nov 07 09:13:40 GMT 2024","Thu Nov 07 09:13:41 GMT 2024","626","Web Interface Test","Login","Error Handling","","","Verify error message for checkout-overview inventory page without login","This test error message visibility access checkout-overview page without Login."
"passed","Thu Nov 07 09:13:30 GMT 2024","Thu Nov 07 09:13:32 GMT 2024","1514","Web Interface Test","Checkout","Error Handling","","","Verify error message for blank fields","This test error message visibility when fill invalid checkout information."
"passed","Thu Nov 07 09:13:43 GMT 2024","Thu Nov 07 09:13:44 GMT 2024","1071","Web Interface Test","Product","Functionality","","","Verify sort product function by names and prices","This test feature sorting product on inventory page."
"passed","Thu Nov 07 09:13:33 GMT 2024","Thu Nov 07 09:13:35 GMT 2024","1886","Web Interface Test","Login","Functionality","","","Verify logout process","This test functionality logout."
"passed","Thu Nov 07 09:13:38 GMT 2024","Thu Nov 07 09:13:39 GMT 2024","664","Web Interface Test","Login","Error Handling","","","Verify error message for access inventory page without login","This test error message visibility access inventory page without Login."
"passed","Thu Nov 07 09:13:32 GMT 2024","Thu Nov 07 09:13:33 GMT 2024","1029","Web Interface Test","Login","Functionality","","","Verify login process with valid credentials","This test functionality login with valid credentials."
"passed","Thu Nov 07 09:13:39 GMT 2024","Thu Nov 07 09:13:40 GMT 2024","667","Web Interface Test","Login","Error Handling","","","Verify error message for access inventory-item page without login","This test error message visibility access inventory-item page without Login."
"passed","Thu Nov 07 09:13:36 GMT 2024","Thu Nov 07 09:13:37 GMT 2024","778","Web Interface Test","Login","Error Handling","","","Verify error message for blank password field","This test error message visibility when login with invalid credentials."
"passed","Thu Nov 07 09:13:20 GMT 2024","Thu Nov 07 09:13:24 GMT 2024","3945","Web Interface Test","Cart","Functionality","","","Verify Cart Page","This test visibility cart page."
"passed","Thu Nov 07 09:13:27 GMT 2024","Thu Nov 07 09:13:29 GMT 2024","1416","Web Interface Test","Checkout","Functionality","","","Verify Checkout Page","This test visibility checkout pages."
"passed","Thu Nov 07 09:13:29 GMT 2024","Thu Nov 07 09:13:30 GMT 2024","1416","Web Interface Test","Checkout","Data Validation","","","Verify data product are accurate in checkout process","This test product information matched between cart and checkout pages."
"passed","Thu Nov 07 09:13:25 GMT 2024","Thu Nov 07 09:13:26 GMT 2024","1082","Web Interface Test","Cart","Functionality","","","Verify adding product to cart at inventory page","This test functionality add products to cart at inventory page."
"passed","Thu Nov 07 09:13:44 GMT 2024","Thu Nov 07 09:13:45 GMT 2024","960","Web Interface Test","Product","Data Validation","","","Verify product information match across pages","This test information matched between product listing and product detail."
"passed","Thu Nov 07 09:13:40 GMT 2024","Thu Nov 07 09:13:40 GMT 2024","663","Web Interface Test","Login","Error Handling","","","Verify error message for checkout-information page without login","This test error message visibility access checkout-information page without Login."
"passed","Thu Nov 07 09:13:38 GMT 2024","Thu Nov 07 09:13:38 GMT 2024","673","Web Interface Test","Login","Error Handling","","","Verify error message for cart page without login","This test error message visibility access cart page without Login."
"passed","Thu Nov 07 09:13:35 GMT 2024","Thu Nov 07 09:13:36 GMT 2024","713","Web Interface Test","Login","Error Handling","","","Verify error message for blank username field","This test error message visibility when login with invalid credentials."
"passed","Thu Nov 07 09:13:32 GMT 2024","Thu Nov 07 09:13:32 GMT 2024","621","Web Interface Test","Login","Functionality","","","Verify Login Page","This test visibility login page."
"passed","Thu Nov 07 09:13:41 GMT 2024","Thu Nov 07 09:13:42 GMT 2024","664","Web Interface Test","Login","Error Handling","","","Verify error message for checkout-complete inventory page without login","This test error message visibility access checkout-complete page without Login."
