"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 09:53:18 GMT 2024","Thu Nov 07 09:53:19 GMT 2024","610","Web Interface Test","Login","Error Handling","","","Verify error message for cart page without login","This test error message visibility access cart page without Login."
"passed","Thu Nov 07 09:53:13 GMT 2024","Thu Nov 07 09:53:14 GMT 2024","981","Web Interface Test","Login","Functionality","","","Verify login process with valid credentials","This test functionality login with valid credentials."
"passed","Thu Nov 07 09:53:20 GMT 2024","Thu Nov 07 09:53:21 GMT 2024","642","Web Interface Test","Login","Error Handling","","","Verify error message for checkout-information page without login","This test error message visibility access checkout-information page without Login."
"passed","Thu Nov 07 09:53:03 GMT 2024","Thu Nov 07 09:53:05 GMT 2024","2106","Web Interface Test","Cart","Functionality","","","Verify Cart Page","This test visibility cart page."
"passed","Thu Nov 07 09:53:06 GMT 2024","Thu Nov 07 09:53:07 GMT 2024","1049","Web Interface Test","Cart","Functionality","","","Verify adding product to cart at inventory page","This test functionality add products to cart at inventory page."
"passed","Thu Nov 07 09:53:08 GMT 2024","Thu Nov 07 09:53:10 GMT 2024","1365","Web Interface Test","Checkout","Functionality","","","Verify Checkout Page","This test visibility checkout pages."
"passed","Thu Nov 07 09:53:21 GMT 2024","Thu Nov 07 09:53:22 GMT 2024","613","Web Interface Test","Login","Error Handling","","","Verify error message for checkout-overview inventory page without login","This test error message visibility access checkout-overview page without Login."
"passed","Thu Nov 07 09:53:16 GMT 2024","Thu Nov 07 09:53:17 GMT 2024","702","Web Interface Test","Login","Error Handling","","","Verify error message for blank username field","This test error message visibility when login with invalid credentials."
"passed","Thu Nov 07 09:53:11 GMT 2024","Thu Nov 07 09:53:13 GMT 2024","1514","Web Interface Test","Checkout","Error Handling","","","Verify error message for blank fields","This test error message visibility when fill invalid checkout information."
"passed","Thu Nov 07 09:53:20 GMT 2024","Thu Nov 07 09:53:20 GMT 2024","631","Web Interface Test","Login","Error Handling","","","Verify error message for access inventory-item page without login","This test error message visibility access inventory-item page without Login."
"passed","Thu Nov 07 09:53:10 GMT 2024","Thu Nov 07 09:53:11 GMT 2024","1349","Web Interface Test","Checkout","Data Validation","","","Verify data product are accurate in checkout process","This test product information matched between cart and checkout pages."
"passed","Thu Nov 07 09:53:22 GMT 2024","Thu Nov 07 09:53:23 GMT 2024","947","Web Interface Test","Product","Functionality","","","Verify Inventory Page and Inventory Item Page","This test visibility inventory page and inventory item page."
"passed","Thu Nov 07 09:53:18 GMT 2024","Thu Nov 07 09:53:18 GMT 2024","832","Web Interface Test","Login","Error Handling","","","Verify error message for incorrect password","This test error message visibility when login with invalid credentials."
"passed","Thu Nov 07 09:53:07 GMT 2024","Thu Nov 07 09:53:08 GMT 2024","1094","Web Interface Test","Cart","Functionality","","","Verify removing product from cart at cart page","This test functionality remove products from cart at cart page."
"passed","Thu Nov 07 09:53:19 GMT 2024","Thu Nov 07 09:53:20 GMT 2024","656","Web Interface Test","Login","Error Handling","","","Verify error message for access inventory page without login","This test error message visibility access inventory page without Login."
"passed","Thu Nov 07 09:53:17 GMT 2024","Thu Nov 07 09:53:18 GMT 2024","753","Web Interface Test","Login","Error Handling","","","Verify error message for blank password field","This test error message visibility when login with invalid credentials."
"passed","Thu Nov 07 09:53:23 GMT 2024","Thu Nov 07 09:53:24 GMT 2024","1084","Web Interface Test","Product","Functionality","","","Verify sort product function by names and prices","This test feature sorting product on inventory page."
"passed","Thu Nov 07 09:53:22 GMT 2024","Thu Nov 07 09:53:22 GMT 2024","642","Web Interface Test","Login","Error Handling","","","Verify error message for checkout-complete inventory page without login","This test error message visibility access checkout-complete page without Login."
"passed","Thu Nov 07 09:53:24 GMT 2024","Thu Nov 07 09:53:25 GMT 2024","955","Web Interface Test","Product","Data Validation","","","Verify product information match across pages","This test information matched between product listing and product detail."
"passed","Thu Nov 07 09:53:14 GMT 2024","Thu Nov 07 09:53:16 GMT 2024","2006","Web Interface Test","Login","Functionality","","","Verify logout process","This test functionality logout."
"passed","Thu Nov 07 09:53:13 GMT 2024","Thu Nov 07 09:53:13 GMT 2024","637","Web Interface Test","Login","Functionality","","","Verify Login Page","This test visibility login page."
